name,Country,Gender,Sport,Discipline,Event,Year
Ingo Spelly,GDR,Men,Canoe,Canoe,C-2 1000m (canoe double)&C-2 500m (canoe double),1988&1992
Guillermo Federico Kammerichs,ARG,Men,Basketball,Basketball,basketball,2008
Yevgeni Yarovenko,URS,Men,Football,Football,football,1988
Doris Ramseier,SUI,Women,Equestrian,Dressage,team,1976
Zoltan Kammerer,HUN,Men,Canoe,Canoe,K-2 500m (kayak double)&K-4 1000m (kayak four),2000&2004
Brian Richard Ledbetter,USA,Men,Sailing,Sailing,single-handed dinghy (Finn),1992
Vladislav Frolov,RUS,Men,Athletics,Athletics,4x400m relay,2008
Wilhelm Kuhweide,FRG,Men,Sailing,Sailing,two-person keelboat open (Star),1972
Namsun Kim,KOR,Women,Handball,Handball,handball,2008
Coby Van baalen,NED,Women,Equestrian,Dressage,team,2000
Ruth Ogbeifo,NGR,Women,Weightlifting,Weightlifting,75kg,2000
Daniel Narcisse,FRA,Men,Handball,Handball,handball,2008
Thaisa Menezes,BRA,Women,Volleyball,Volleyball,volleyball,2008
Maris Strombergs,LAT,Men,Cycling,BMX,Individual,2008
Rudolf Nebald,HUN,Men,Fencing,Fencing,sabre team,1980
Ramon Jufresa,ESP,Men,Hockey,Hockey,hockey,1996
Lori Ann Endicott,USA,Women,Volleyball,Volleyball,volleyball,1992
Tim Montgomery,USA,Men,Athletics,Athletics,4x100m relay,1996&2000
Marius Daniel Urzica,ROU,Men,Gymnastics,Artistic G.,pommel horse&team competition,1996&2000&2004
Gintaras Krapikas,LTU,Men,Basketball,Basketball,basketball,1992
Lusia Mae Harris,USA,Women,Basketball,Basketball,basketball,1976
Valerie Barlois,FRA,Women,Fencing,Fencing,Zpze individual&Zpze team,1996
Malia Metella,FRA,Women,Aquatics,Swimming,50m freestyle,2004
Hans-JYrgen Geschke,GDR,Men,Cycling,Cycling Track,2000m tandem&Sprint indivual,1972&1976
David Kostelecky,CZE,Men,Shooting,Shooting,trap (125 targets),2008
Dmitri Nelyubin,URS,Men,Cycling,Cycling Track,Team Pursuit (4000m),1988
Yan Li,CHN,Women,Volleyball,Volleyball,volleyball,1996
Bradford Paul Cooper,AUS,Men,Aquatics,Swimming,400m freestyle,1972
Timothy Austin,USA,Men,Boxing,Boxing,48 - 51kg (flyweight),1992
Ulrike Klotz,GDR,Women,Gymnastics,Artistic G.,team competition,1988
Georgeta Andrunache,ROU,Women,Rowing,Rowing,eight with coxswain (8+)&pair without coxswain (2-),2000&2004&2008
Peter Biros,HUN,Men,Aquatics,Water polo,water polo,2000&2004&2008
Edith Eckbauer-baumann,FRG,Women,Rowing,Rowing,pair without coxswain (2-),1976
Tamas Szombathelyi,HUN,Men,Modern Pentathlon,Modern Pentath.,Individual competition&Team competition,1980
Martin Winter,GDR,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),1980
Ilse Kaschube,GDR,Women,Canoe,Canoe,K-2 500m (kayak double),1972
Goran Prpic,CRO,Men,Tennis,Tennis,doubles,1992
Wei-Chen Chen,TPE,Men,Baseball,Baseball,baseball,1992
Jueri Jaanson,EST,Men,Rowing,Rowing,single sculls (1x),2004
Albert Rust,FRA,Men,Football,Football,football,1984
Tatyana Sidorenko,URS,Women,Volleyball,Volleyball,volleyball,1988&1992
Christiane Harzendorf,GER,Women,Rowing,Rowing,eight with coxswain (8+),1992
Ali Kayali,TUR,Men,Wrestling,Wrestling Free.,90 - 100kg (heavyweight),1992
Jesus Fernandez,ESP,Men,Handball,Handball,handball,1996
Renate Lingor,GER,Women,Football,Football,football,2000&2004&2008
Bruno Mascarenhas,ITA,Men,Rowing,Rowing,lightweight coxless four (4-),2004
Ericka Lorenz,USA,Women,Aquatics,Water polo,water polo,2000&2004
Anisoara Sorohan-minea,ROU,Women,Rowing,Rowing,quadruple sculls with coxswain (4x)&quadruple sculls without coxswain (4x),1984&1988
Levi Leipheimer,USA,Men,Cycling,Cycling Road,individual time trial,2008
Alfonso De irruarrizaga,CHI,Men,Shooting,Shooting,skeet (125 targets),1988
Siegfried Brietzke,GDR,Men,Rowing,Rowing,coxless pair (2-)&four without coxswain (4-),1972&1976&1980
Joaquim Cruz,BRA,Men,Athletics,Athletics,800m,1984&1988
Andrea Borella,ITA,Men,Fencing,Fencing,foil team,1984
Matt Targett,AUS,Men,Aquatics,Swimming,4x100m freestyle relay&4x100m medley relay,2008
Douglas S. Gjertsen,USA,Men,Aquatics,Swimming,4x200m freestyle relay,1988&1992
Matteo Pelliciari,ITA,Men,Aquatics,Swimming,4x200m freestyle relay,2004
Silje Joergensen,NOR,Women,Football,Football,football,2000
Stefano Bellone,ITA,Men,Fencing,Fencing,Zpze team,1984
Sun Bok Yu,PRK,Women,Table Tennis,Table Tennis,doubles,1992
Mladen Kutchev,BUL,Men,Weightlifting,Weightlifting,60 - 67.5kg total (lightweight),1972
Wilber Sanchez amita,CUB,Men,Wrestling,Wrestling Gre-R,- 48kg (light-flyweight),1992
Borislav Borisov,BUL,Men,Canoe,Canoe,K-4 1000m (kayak four),1980
Michellie Jones,AUS,Women,Triathlon,Triathlon,Individual,2000
Irving Jahir Saladino aranda,PAN,Men,Athletics,Athletics,long jump,2008
Michael Carbajal,USA,Men,Boxing,Boxing,- 48kg (light-flyweight),1988
Aleksandr Melentiev,URS,Men,Shooting,Shooting,50m pistol (60 shots),1980
David Lester Laut,USA,Men,Athletics,Athletics,shot put,1984
Ulrika Knape-lindbergh,SWE,Women,Aquatics,Diving,10m platform&3m springboard,1972&1976
Thomas Ebert,DEN,Men,Rowing,Rowing,lightweight coxless four (4-),2000&2004&2008
GRAZIELLE,BRA,Women,Football,Football,football,2004
Jerome Fernandez,FRA,Men,Handball,Handball,handball,2008
Yan Ba,CHN,Women,Basketball,Basketball,basketball,1984
Jesus Olalla,ESP,Men,Handball,Handball,handball,1996&2000
Khan Haneef,PAK,Men,Hockey,Hockey,hockey,1976
Shamo Quaye,GHA,Men,Football,Football,football,1992
Michael Kent Livingston,USA,Men,Rowing,Rowing,eight with coxswain (8+),1972
Michelle Andrews,AUS,Women,Hockey,Hockey,hockey,1996
Sanya Richards,USA,Women,Athletics,Athletics,4x400m relay&400m,2004&2008
Ivans Klementyev,URS,Men,Canoe,Canoe,C-1 1000m (canoe single),1988&1992&1996
Richard Joseph Sanders,USA,Men,Wrestling,Wrestling Free.,52 - 57kg (bantamweight),1972
Zhiyong Shi,CHN,Men,Weightlifting,Weightlifting,62kg,2004
Jianshuang Sui,CHN,Women,Gymnastics,Rhythmic G.,group competition,2008
Georgina Bardach,ARG,Women,Aquatics,Swimming,400m individual medley,2004
Pietro Generali,ITA,Men,Basketball,Basketball,basketball,1980
Mariana Serbezova,BUL,Women,Rowing,Rowing,quadruple sculls with coxswain (4x),1980
Lidia Loginova,URS,Women,Volleyball,Volleyball,volleyball,1980
Hurnet Dekkers,NED,Women,Rowing,Rowing,eight with coxswain (8+),2004
Hendrik Reiher,GDR,Men,Rowing,Rowing,four-oared shell with coxswain (4-),1988&1992
Reema Abdo,CAN,Women,Aquatics,Swimming,4x100m medley relay,1984
Sheena Tosta,USA,Women,Athletics,Athletics,400m hurdles,2008
Andrea Nugent,CAN,Women,Aquatics,Swimming,4x100m medley relay,1988
Argentina Menis,ROU,Women,Athletics,Athletics,discus throw,1972
Gerald Mortag,GDR,Men,Cycling,Cycling Track,Team Pursuit (4000m),1980
Bernd Bransch,GDR,Men,Football,Football,football,1972&1976
Peter Foster,AUS,Men,Canoe,Canoe,K-2 1000m (kayak double),1988
Zarko Petrovic,YUG,Men,Volleyball,Volleyball,volleyball,1996
Sven Meinhardt,GER,Men,Hockey,Hockey,hockey,1992
Olga Solovova,URS,Women,Volleyball,Volleyball,volleyball,1980
Wendy Sly,GBR,Women,Athletics,Athletics,3000m,1984
Pierre Thorsson,SWE,Men,Handball,Handball,handball,1992&1996&2000
Zoila Barros,CUB,Women,Volleyball,Volleyball,volleyball,2000
Liailia Akhmerova,URS,Women,Hockey,Hockey,hockey,1980
Richard Woodhall,GBR,Men,Boxing,Boxing,67 - 71kg (light-middleweight),1988
Dulce M. Tellez palacio,CUB,Women,Volleyball,Volleyball,volleyball,2004
Hongxia Li,CHN,Women,Hockey,Hockey,hockey,2008
Oscar Varona varona,CUB,Men,Basketball,Basketball,basketball,1972
Makoto Takimoto,JPN,Men,Judo,Judo,73 - 81kg (half-middleweight),2000
Fengzhen Pan,CHN,Women,Hockey,Hockey,hockey,2008
Takashi Miwa,JPN,Men,Baseball,Baseball,baseball,1992
Csaba Vidacs,HUN,Men,Football,Football,football,1972
Guido Fulst,GER,Men,Cycling,Cycling Track,Team Pursuit (4000m)&Points Race,1992&2000&2004
Patrik Cavar,CRO,Men,Handball,Handball,handball,1996
Torsten Spanneberg,GER,Men,Aquatics,Swimming,4x100m medley relay,2000
Svetlana Maziy,URS,Women,Rowing,Rowing,quadruple sculls without coxswain (4x),1988&1996
Walter Diessner,GDR,Men,Rowing,Rowing,four-oared shell with coxswain (4-),1976&1980
Floris Jan Bovelander,NED,Men,Hockey,Hockey,hockey,1988&1996
Kuo-Chong Lo,TPE,Men,Baseball,Baseball,baseball,1992
Justine Smethurst,AUS,Women,Softball,Softball,softball,2008
Victoria Orr,USA,Women,Basketball,Basketball,basketball,1992
Jaroslav Volf,CZE,Men,Canoe,Canoe,C-2 (canoe double),2004&2008
Piotr Malachowski,POL,Men,Athletics,Athletics,discus throw,2008
Gerd Weber,GDR,Men,Football,Football,football,1976
Attila Czene,HUN,Men,Aquatics,Swimming,200m individual medley,1992&1996
Borislava Ivanova-milkova,BUL,Women,Canoe,Canoe,K-4 500m (kayak four),1988
Fernando Scherer,BRA,Men,Aquatics,Swimming,50m freestyle&4x100m freestyle relay,1996&2000
Christian Ryan,AUS,Men,Rowing,Rowing,eight with coxswain (8+),2000
Henry Maske,GDR,Men,Boxing,Boxing,71-75kg,1988
Silvia Sperber,FRG,Women,Shooting,Shooting,10m air rifle (40 shots)&50m rifle 3 positions (3x20 shots),1988
Cesar Delgado,ARG,Men,Football,Football,football,2004
Petar Merkov,BUL,Men,Canoe,Canoe,K-1 1000m (kayak single)&K-1 500m (kayak single),2000
Jin Chen,CHN,Men,Badminton,Badminton,singles,2008
Dong Moon Kim,KOR,Men,Badminton,Badminton,doubles,1996&2000&2004
Micah Kogo,KEN,Men,Athletics,Athletics,10000m,2008
Nobuhiko Matsunaka,JPN,Men,Baseball,Baseball,baseball,1996
Bjoern Emmerling,GER,Men,Hockey,Hockey,hockey,2004
Artem Khadjibekov,RUS,Men,Shooting,Shooting,10m air rifle (60 shots),1996&2000
Yuri Zaitsev,URS,Men,Weightlifting,Weightlifting,91 - 110kg total (heavyweight),1976
Bratan Tzenov Tsenov,BUL,Men,Wrestling,Wrestling Gre-R,- 48kg (light-flyweight),1988
Margaret Hoelzer,USA,Women,Aquatics,Swimming,100m backstroke&200m backstroke&4x100m medley relay,2008
Melissa Ryan,USA,Women,Rowing,Rowing,pair without coxswain (2-),2000
Frank Mantek,GDR,Men,Weightlifting,Weightlifting,82.5 - 90kg total (middle-heavyweight),1980
Sang-Ki Lee,KOR,Men,Fencing,Fencing,Zpze individual,2000
Mitar Mrkela,YUG,Men,Football,Football,football,1984
Peter Digman,NZL,Men,Rowing,Rowing,eight with coxswain (8+),1976
Alexandre Guerassimov,RUS,Men,Volleyball,Volleyball,volleyball,2000
Anna Chicherova,RUS,Women,Athletics,Athletics,high jump,2008
Jan Karlsson,SWE,Men,Wrestling&Cycling,Wrestling Free.&Wrestling Gre-R&Cycling Road,68 - 74kg (welterweight)&team time trial,1972&1988
Nicole Reinhardt,GER,Women,Canoe,Canoe,K-4 500m (kayak four),2008
Courtenay Becker-dey,USA,Women,Sailing,Sailing,single-handed dinghy (Europe),1996
Andre Steiner,GER,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),1996
Grant Brits,AUS,Men,Aquatics,Swimming,4x200m freestyle relay,2008
Miguel Indurain,ESP,Men,Cycling,Cycling Road,individual time trial,1996
Salvatore Sanzo,ITA,Men,Fencing,Fencing,foil team&foil individual,2000&2004&2008
Wenjiing Bi,CHN,Women,Gymnastics,Artistic G.,uneven bars,1996
Joerg Munzner,AUT,Men,Equestrian,Jumping,team,1992
Dmitriy Rozinkevich,RUS,Men,Rowing,Rowing,eight with coxswain (8+),1996
Victor Denisov,URS,Men,Canoe,Canoe,K-2 500m (kayak double)&K-4 1000m (kayak four),1988
Jing Du,CHN,Women,Badminton,Badminton,doubles,2008
Brigitte Rohde,GDR,Women,Athletics,Athletics,4x400m relay,1976
Linda Margaret Watson,ZIM,Women,Hockey,Hockey,hockey,1980
Tommy Werner,SWE,Men,Aquatics,Swimming,4x200m freestyle relay,1992
Arambi Emizh,URS,Men,Judo,Judo,- 60 kg,1980
Jennifer Kay Chandler,USA,Women,Aquatics,Diving,3m springboard,1976
Daniel Adler,BRA,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1984
Bohumil Starnovsky,TCH,Men,Modern Pentathlon,Modern Pentath.,Team competition,1976
Alberto Demiddi,ARG,Men,Rowing,Rowing,single sculls (1x),1972
Natalya Kudreva,URS,Women,Volleyball,Volleyball,volleyball,1972
Andrzej Kobylanski,POL,Men,Football,Football,football,1992
Jens Lehmann,GER,Men,Cycling,Cycling Track,Individual Pursuit&Team Pursuit (4000m),1992&2000
Marie-Jose Perec,FRA,Women,Athletics,Athletics,400m&200m,1992&1996
Sergio Casal martinez,ESP,Men,Tennis,Tennis,doubles,1988
Paul Cote,CAN,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1972
Katrin Kauschke,GER,Women,Hockey,Hockey,hockey,1992
Paul Ereng,KEN,Men,Athletics,Athletics,800m,1988
Liang-De Tan,CHN,Men,Aquatics,Diving,3m springboard,1984&1988&1992
Fernando De avila,BRA,Men,Volleyball,Volleyball,volleyball,1984
Juan Lopez martinez,ESP,Men,Football,Football,football,1992
Robert Brooks Weaver,USA,Men,Wrestling,Wrestling Free.,- 48kg (light-flyweight),1984
Khalid Boulami,MAR,Men,Athletics,Athletics,5000m,1996
Steffen Stoerseth,NOR,Men,Rowing,Rowing,double sculls (2x),1996
Vera Ilyina,RUS,Women,Aquatics,Diving,synchronized diving 3m springboard,2000&2004
Jacinthe Taillon,CAN,Women,Aquatics,Synchronized S.,team,2000
Soon-Bok Lee,KOR,Women,Volleyball,Volleyball,volleyball,1976
Brandon Paulson,USA,Men,Wrestling,Wrestling Gre-R,48 - 52kg (flyweight),1996
Helmut Losch,GDR,Men,Weightlifting,Weightlifting,+ 110kg total (super heavyweight),1976
Arvydas Sabonis,URS,Men,Basketball,Basketball,basketball,1988&1992&1996
Vetle Vinje,NOR,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),1988
Kyung-Soon Kim,KOR,Women,Handball,Handball,handball,1984&1988
Roberta Brunet,ITA,Women,Athletics,Athletics,5000m,1996
Philippa Funnell,GBR,Women,Equestrian,Eventing,individual&team,2004
Therese Alshammar,SWE,Women,Aquatics,Swimming,100m freestyle&4x100m freestyle relay&50m freestyle,2000
Seung-Ho Lee,KOR,Men,Baseball,Baseball,baseball,2000
Keeth Smart,USA,Men,Fencing,Fencing,sabre team,2008
Svetlana Anastasovski,YUG,Women,Handball,Handball,handball,1980&1984
Rafael Olarra,CHI,Men,Football,Football,football,2000
Gavin Thredgold,AUS,Men,Rowing,Rowing,eight with coxswain (8+),1984
Michele Maffei,ITA,Men,Fencing,Fencing,sabre team,1972&1976&1980
Agnes Farkas,HUN,Women,Handball,Handball,handball,2000
Alexander Kosarev,RUS,Men,Volleyball,Volleyball,volleyball,2004&2008
Steve Williams,GBR,Men,Rowing,Rowing,four without coxswain (4-),2004&2008
Connie Paraskevin-young,USA,Women,Cycling,Cycling Track,sprint,1988
Rasool Akhtar,PAK,Men,Hockey,Hockey,hockey,1972&1976
Su Dae Kim,PRK,Women,Volleyball,Volleyball,volleyball,1972
Petar Kirov,BUL,Men,Wrestling,Wrestling Gre-R,48 - 52kg (flyweight),1972
Juan Antonio San epifanio ruiz,ESP,Men,Basketball,Basketball,basketball,1984
Nathan Baggaley,AUS,Men,Canoe,Canoe,K-1 500m (kayak single)&K-2 500m (kayak double),2004
Kirsten Van der kolk,NED,Women,Rowing,Rowing,lightweight double sculls (2x),2004&2008
Felicia Ballanger,FRA,Women,Cycling,Cycling Track,sprint&500m time trial,1996&2000
LUCAS,BRA,Men,Football,Football,football,2008
Svetlana Boguinskaia,EUN,Women,Gymnastics,Artistic G.,team competition,1992
Chan-Sook Park,KOR,Women,Basketball,Basketball,basketball,1984
Chang Sook Kwon,KOR,Women,Hockey,Hockey,hockey,1996
Dennis Mitchell,USA,Men,Athletics,Athletics,100m&4x100m relay,1992&1996
Franck Esposito,FRA,Men,Aquatics,Swimming,200m butterfly,1992
Wieke Dijkstra,NED,Women,Hockey,Hockey,hockey,2008
Nancy Lynn Dunkle,USA,Women,Basketball,Basketball,basketball,1976
Tetsuo Sato,JPN,Men,Volleyball,Volleyball,volleyball,1972
Gael Mulhall-martin,AUS,Women,Athletics,Athletics,shot put,1984
Rodica Puscatu-arba,ROU,Women,Rowing,Rowing,eight with coxswain (8+)&pair without coxswain (2-),1980&1984&1988
Irfan Smajlagic,YUG,Men,Handball,Handball,handball,1988&1996
Nikolai Ilkov,BUL,Men,Canoe,Canoe,C-2 500m (canoe double),1980
Hans-JYrgen Veil,FRG,Men,Wrestling,Wrestling Gre-R,52 - 57kg (bantamweight),1972
Aleksei Prudnikov,URS,Men,Football,Football,football,1988
Natalia Valeeva,EUN,Women,Archery,Archery,individual (FITA Olympic round - 70m)&team (FITA Olympic round - 70m),1992
Anastasia Pozdnyakova,RUS,Women,Aquatics,Diving,synchronized diving 3m springboard,2008
Olga Vasilchenko,URS,Women,Rowing,Rowing,quadruple sculls with coxswain (4x),1980
Ingrid Imelda Wolff,NED,Women,Hockey,Hockey,hockey,1988
Mahe Drysdale,NZL,Men,Rowing,Rowing,single sculls (1x),2008
Klaus-Peter Hildenbrand,FRG,Men,Athletics,Athletics,5000m,1976
Simmone Jacobs,GBR,Women,Athletics,Athletics,4x100m relay,1984
Angelo Arcidiacono,ITA,Men,Fencing,Fencing,sabre team,1976&1984
Thomas Lejdstrom,SWE,Men,Aquatics,Swimming,4x100m freestyle relay,1984
Martina Schmidt,GDR,Women,Volleyball,Volleyball,volleyball,1980
Yuriy Borzakovskiy,RUS,Men,Athletics,Athletics,800m,2004
John Paul Lyndon Regis,GBR,Men,Athletics,Athletics,4x100m relay&4x400m relay,1988&1992
Thierry Rey,FRA,Men,Judo,Judo,- 60 kg,1980
Ailing Liu,CHN,Women,Football,Football,football,1996
Alexandre Lebziak,RUS,Men,Boxing,Boxing,75 - 81kg (light-heavyweight),2000
Thomasz Wylenzek,GER,Men,Canoe,Canoe,C-2 1000m (canoe double)&C-2 500m (canoe double),2008
Antonio Rossi,ITA,Men,Canoe,Canoe,K-2 500m (kayak double)&K-1 500m (kayak single)&K-2 1000m (kayak double),1992&1996&2000&2004
Sergi Escobar,ESP,Men,Cycling,Cycling Track,Individual Pursuit&Team Pursuit (4000m),2004
Barbara Olmstead,CAN,Women,Canoe,Canoe,K-4 500m (kayak four),1984
Nick Ffrost,AUS,Men,Aquatics,Swimming,4x200m freestyle relay,2008
Miguel La hera,CUB,Men,Baseball,Baseball,baseball,2008
Jason Rogers,USA,Men,Fencing,Fencing,sabre team,2008
Liane Weigelt-buhr,GDR,Women,Rowing,Rowing,quadruple sculls with coxswain (4x),1976&1980
Robert Gatai,HUN,Men,Fencing,Fencing,foil team,1988
Jaime Amat,ESP,Men,Hockey,Hockey,hockey,1996
Myeong Seob Song,KOR,Men,Taekwondo,Taekwondo,58 - 68 kg,2004
Khetag Gazyumov,AZE,Men,Wrestling,Wrestling Free.,84 - 96kg,2008
Christy Thompson Opara-thompson,NGR,Women,Athletics,Athletics,4x100m relay,1992
Robyn Maher,AUS,Women,Basketball,Basketball,basketball,1996
Graham Smith,CAN,Men,Aquatics,Swimming,4x100m medley relay,1976
Lilian Cristina Goncalves,BRA,Women,Basketball,Basketball,basketball,2000
Fabio Dal zotto,ITA,Men,Fencing,Fencing,foil individual&foil team,1976
Ace Rusevski,YUG,Men,Boxing,Boxing,57 - 60kg (lightweight),1976
Ian Ruff,AUS,Men,Sailing,Sailing,470 - Two Person Dinghy,1976
Antonio Tarver,USA,Men,Boxing,Boxing,75 - 81kg (light-heavyweight),1996
Andreas Knebel,GDR,Men,Athletics,Athletics,4x400m relay,1980
Niels Van der zwan,NED,Men,Rowing,Rowing,eight with coxswain (8+),1996
Jan Schaefer,GER,Men,Canoe,Canoe,K-4 1000m (kayak four),2000
Erich Buljung,USA,Men,Shooting,Shooting,10m air pistol (60 shots),1988
Anky Van grunsven,NED,Women,Equestrian,Dressage,team&individual,1992&1996&2000&2004&2008
Soren Madsen,DEN,Men,Rowing,Rowing,lightweight coxless four (4-),2000
Alireza Heidari,IRI,Men,Wrestling,Wrestling Free.,84 - 96kg,2004
Sabine Bischoff,FRG,Women,Fencing,Fencing,foil team,1984
Robert Bentley Jr. Haines,USA,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1984
Karin Guthke,GDR,Women,Aquatics,Diving,3m springboard,1980
Patricia Tarabini,ARG,Women,Tennis,Tennis,doubles,2004
Magda Maros,HUN,Women,Fencing,Fencing,foil team&foil individual,1976&1980
Rosa Mota,POR,Women,Athletics,Athletics,marathon,1984&1988
Toshiaki Fushimi,JPN,Men,Cycling,Cycling Track,Team Sprint,2004
Fredy Bareiro,PAR,Men,Football,Football,football,2004
Ildiko Rejto-ujlaki,HUN,Women,Fencing,Fencing,foil team,1972&1976
Jun Wang,CHN,Women,Basketball,Basketball,basketball,1984
Pavel Kuznetsov,URS,Men,Weightlifting,Weightlifting,90 - 100kg total (first-heavyweight),1988
Paola Tirados,ESP,Women,Aquatics,Synchronized S.,team,2008
Ionut Gheorghe,ROU,Men,Boxing,Boxing,60 - 64 kg,2004
Olga Bryzgina,URS,Women,Athletics,Athletics,400m&4x400m relay,1988&1992
FRANCIELLE,BRA,Women,Football,Football,football,2008
Jsrg Friedrich,GDR,Men,Rowing,Rowing,eight with coxswain (8+),1980
Kate Markgraf,USA,Women,Football,Football,football,2004&2008
Jurgen Hingsen,FRG,Men,Athletics,Athletics,decathlon,1984
Mario Gonzalez,MEX,Men,Boxing,Boxing,48 - 51kg (flyweight),1988
Mette Vestergaard larsen,DEN,Women,Handball,Handball,handball,2000&2004
Dennis Hall,USA,Men,Wrestling,Wrestling Gre-R,52 - 57kg (bantamweight),1996
Afanasijs Kuzmins,URS,Men,Shooting,Shooting,25m rapid fire pistol (60 shots),1988&1992
Annemarie Sanders-keyzer,NED,Women,Equestrian,Dressage,team,1992
Marcelo Ferreira,BRA,Men,Sailing,Sailing,two-person keelboat open (Star)&Star - Keelboat,1996&2000&2004
Mark Todd,NZL,Men,Equestrian,Eventing,individual&team,1984&1988&1992&2000
Ryszard Szurkowski,POL,Men,Cycling,Cycling Road,team time trial,1972&1976
Warren Potent,AUS,Men,Shooting,Shooting,50m rifle prone (60 shots),2008
Carlette D. Guidry-white,USA,Women,Athletics,Athletics,4x100m relay,1992&1996
Diana Munz,USA,Women,Aquatics,Swimming,400m freestyle&4x200m freestyle relay&800m freestyle,2000&2004
Richard Faulds,GBR,Men,Shooting,Shooting,double trap (150 targets),2000
Masanori Sugiura,JPN,Men,Baseball,Baseball,baseball,1992&1996
Sunday Oliseh,NGR,Men,Football,Football,football,1996
Gitte Sunesen,DEN,Women,Handball,Handball,handball,1996
Chih Hsiung Huang,TPE,Men,Taekwondo,Taekwondo,- 58 kg&58 - 68 kg,2000&2004
Michael Scott Tully,USA,Men,Athletics,Athletics,pole vault,1984
Hreidar Levy Gudmundsson,ISL,Men,Handball,Handball,handball,2008
Ecaterina Szabo,ROU,Women,Gymnastics,Artistic G.,balance beam&floor exercises&individual all-round&team competition&vault,1984
Irina Gerlits,URS,Women,Basketball,Basketball,basketball,1988&1992
Andrea Sartoretti,ITA,Men,Volleyball,Volleyball,volleyball,1996&2000&2004
Alireza Rezaei,IRI,Men,Wrestling,Wrestling Free.,96 - 120kg,2004
Ludger Beerbaum,FRG,Men,Equestrian,Jumping,team&individual,1988&1992&1996&2000
Walter Kusch,FRG,Men,Aquatics,Swimming,4x100m medley relay,1976
Marek Dabrowski,POL,Men,Fencing,Fencing,foil team,1972
Catherine Ndereba,KEN,Women,Athletics,Athletics,marathon,2004&2008
Laszlo Reczi,HUN,Men,Wrestling,Wrestling Gre-R,57 - 62kg (featherweight),1976
Mohammed Kedir,ETH,Men,Athletics,Athletics,10000m,1980
Yan Xu,CHN,Women,Judo,Judo,52 - 57kg (lightweight),2008
Lars Sigurd Bjorkstrom,BRA,Men,Sailing,Sailing,Tornado - Multihull,1980
Ashot Karagian,URS,Men,Fencing,Fencing,Zpze team&foil team,1980
Heidi Westphal,GDR,Women,Rowing,Rowing,double sculls (2x),1980
Ki-Tae Kim,KOR,Men,Baseball,Baseball,baseball,2000
Victor Sojo,ESP,Men,Hockey,Hockey,hockey,2008
Je-Aki Cho,KOR,Men,Judo,Judo,open category,1976
Magdalena Mroczkiewicz,POL,Women,Fencing,Fencing,foil team,2000
Francois Brisson,FRA,Men,Football,Football,football,1984
Mario Von appen,GER,Men,Canoe,Canoe,K-4 1000m (kayak four),1992
Christopher Miles Boardman,GBR,Men,Cycling,Cycling Track&Cycling Road,Individual Pursuit&individual time trial,1992&1996
Norka Latamblet daudinot,CUB,Women,Volleyball,Volleyball,volleyball,1992
Sri Indriyani,INA,Women,Weightlifting,Weightlifting,48kg,2000
Ok Sun Kang,PRK,Women,Volleyball,Volleyball,volleyball,1972
Lenka Vymazalova,TCH,Women,Hockey,Hockey,hockey,1980
Serdamba Purevdorj,MGL,Men,Boxing,Boxing,48kg (light flywieght),2008
Soon-Bok Jeong,KOR,Women,Handball,Handball,handball,1984
Robert Davies Marland,CAN,Men,Rowing,Rowing,eight with coxswain (8+),1992
Clarissa Davis,USA,Women,Basketball,Basketball,basketball,1992
Artur Taymazov,UZB,Men,Wrestling,Wrestling Free.,97 - 130kg&96 - 120kg,2000&2004&2008
Dragos Neagu,ROU,Men,Rowing,Rowing,coxless pair (2-),1988
Marion Kische,GDR,Women,Gymnastics,Artistic G.,team competition,1976
Istvan Kiss,HUN,Men,Aquatics,Water polo,water polo,1980
Eva Paskuy,GDR,Women,Handball,Handball,handball,1976
Marco Gerini,ITA,Men,Aquatics,Water polo,water polo,1996
Krassimir Nikolaev Dounev,BUL,Men,Gymnastics,Artistic G.,horizontal bar,1996
Wenxiu Zhang,CHN,Women,Athletics,Athletics,hammer throw,2008
Rick Krivda,USA,Men,Baseball,Baseball,baseball,2000
Jan Dolgowicz,POL,Men,Wrestling,Wrestling Gre-R,74 - 82kg (middleweight),1980
Hussain Shah Syed,PAK,Men,Boxing,Boxing,71-75kg,1988
Celine Lebrun,FRA,Women,Judo,Judo,70 - 78kg (half-heavyweight),2000
Tetsuo Nishimoto,JPN,Men,Volleyball,Volleyball,volleyball,1972
Edward Craig Klass,USA,Men,Aquatics,Water polo,water polo,1988
David Ambartsumyan,URS,Men,Aquatics,Diving,10m platform,1980
Dean William Glenesk,USA,Men,Modern Pentathlon,Modern Pentath.,Team competition,1984
Jean-Claude Olry,FRA,Men,Canoe,Canoe,C-2 (canoe double),1972
Alessandro Lambruschini,ITA,Men,Athletics,Athletics,3000m steeplechase,1996
Mei-Zhu Zheng,CHN,Women,Volleyball,Volleyball,volleyball,1984&1988
David John Oliver Forbes,AUS,Men,Sailing,Sailing,two-person keelboat open (Star),1972
Tadeusz Mytnik,POL,Men,Cycling,Cycling Road,team time trial,1976
